Recipe Title,Recipe URL,Ingredients,Cleaned Title,Cleaned Ingredients
Japanese-Style Calzone with Roasted Soybeans & Curry,https://cookpad.com/eng/recipes/24751996,Ingredients Makes 2–3 calzones 【For the Dough】 200 g Bread flour (or all-purpose) 1 tsp Dry yeast (about 3g) 1 tsp Sugar 1/2 tsp Salt 1 tbsp Olive oil 120-130 ml Warm water (30–40°C) 【For the Filling】 50 g Steamed soybeans (lightly roasted) 1/4 Onion (finely chopped) 1/4 Carrot (finely chopped) 1 tsp Curry powder 1 pinch Sugar 1/4 tsp Miso (optional) 1/2 tsp Soy sauce 40-50 g Melting cheese ( mozzarella or shredded mix) 1 tsp Olive oil Salt & pepper (to taste) 【For the Dough】 200 g Bread flour (or all-purpose) 1 tsp Dry yeast (about 3g) 1 tsp Sugar 1/2 tsp Salt 1 tbsp Olive oil 120-130 ml Warm water (30–40°C) 【For the Filling】 50 g Steamed soybeans (lightly roasted) 1/4 Onion (finely chopped) 1/4 Carrot (finely chopped) 1 tsp Curry powder 1 pinch Sugar 1/4 tsp Miso (optional) 1/2 tsp Soy sauce 40-50 g Melting cheese ( mozzarella or shredded mix) 1 tsp Olive oil Salt & pepper (to taste),japanese style calzone roasted soybean curry,make calzones dough bread flour dry yeast sugar salt olive oil water filling soybean onion carrot curry powder sugar miso soy sauce melting cheese mozzarella mix olive oil salt pepper dough bread flour dry yeast sugar salt olive oil water filling soybean onion carrot curry powder sugar miso soy sauce melting cheese mozzarella mix olive oil salt pepper
Fruit Sando - Japanese Milk Bread Fruit Sandwich,https://cookpad.com/eng/recipes/24755612,Ingredients 20 minutes 4 portions 8 slices toast 250 gr whip cream 250 ml cold water 10 pcs strawberry (choose your favourite Fruit) 1 pc kiwi 5 pcs autumn seedless grapes 8 slices toast 250 gr whip cream 250 ml cold water 10 pcs strawberry (choose your favourite Fruit) 1 pc kiwi 5 pcs autumn seedless grapes,fruit sando japanese milk bread fruit sandwich,portion toast whip cream water strawberry choose favourite fruit pc kiwi autumn seedless grape toast whip cream water strawberry choose favourite fruit pc kiwi autumn seedless grape
Japanese Teriyaki Chicken Pizza,https://cookpad.com/eng/recipes/24755294,"Ingredients 2 servings Prepared in advance Ayaka’s Pizza dough →id:24694745 200 g Chicken thigh 2 tbsp Soy sauce 2 tbsp Sugar 2 tbsp Sake or water 1 tbsp Oil 50 g Rice cake, diced 1 dash Shredded cheese 1 dash Nori (dried laver ), torn into small pieces As needed Mayonnaise Prepared in advance Ayaka’s Pizza dough →id:24694745 200 g Chicken thigh 2 tbsp Soy sauce 2 tbsp Sugar 2 tbsp Sake or water 1 tbsp Oil 50 g Rice cake, diced 1 dash Shredded cheese 1 dash Nori (dried laver ), torn into small pieces As needed Mayonnaise",japanese teriyaki chicken pizza,prepared advance ayaka pizza dough id chicken thigh soy sauce sugar sake water oil rice cake cheese nori laver torn mayonnaise prepared advance ayaka pizza dough id chicken thigh soy sauce sugar sake water oil rice cake cheese nori laver torn mayonnaise
Japanese Smashed Cucumber with Umeboshi,https://cookpad.com/eng/recipes/24753170,"Ingredients Prep 5 min 2 cucumbers (about 250g) 2 umeboshi (Japanese pickled plums, preferably low-salt) ★1 tsp sesame oil ★1 tsp sugar ★1 tsp soy sauce ★1/2 tsp dashi powder (or liquid dashi) 1 pinch salt (for salting the cucumber ) 2 cucumbers (about 250g) 2 umeboshi (Japanese pickled plums, preferably low-salt) ★1 tsp sesame oil ★1 tsp sugar ★1 tsp soy sauce ★1/2 tsp dashi powder (or liquid dashi) 1 pinch salt (for salting the cucumber )",japanese smashed cucumber umeboshi,prep cucumber umeboshi japanese plum preferably low salt sesame oil sugar soy sauce dashi powder liquid dashi salt salting cucumber cucumber umeboshi japanese plum preferably low salt sesame oil sugar soy sauce dashi powder liquid dashi salt salting cucumber
Japanese and Korean style snack pizza,https://cookpad.com/eng/recipes/24750381,Ingredients 16 gyoza (Dumpling) skins 120 g Shredded Mozzarella Cheese Japanese pizza sauce 30 g tomato paste 5 g Miso Wasabi as you like Japanese style topping 50 g chopped white onion 50 g shiitake mushrooms 3 shiso leaves 20 g pickled eggplants Korian pizza sauce 30 g tomato paste 5 g gochujang 5 g doubanjiang (Chinese hot sauce ) Korian style topping 3 chives 30 g Kimchi toasted sesame seeds as you like Korean nori seaweed 16 gyoza (Dumpling) skins 120 g Shredded Mozzarella Cheese Japanese pizza sauce 30 g tomato paste 5 g Miso Wasabi as you like Japanese style topping 50 g chopped white onion 50 g shiitake mushrooms 3 shiso leaves 20 g pickled eggplants Korian pizza sauce 30 g tomato paste 5 g gochujang 5 g doubanjiang (Chinese hot sauce ) Korian style topping 3 chives 30 g Kimchi toasted sesame seeds as you like Korean nori seaweed,japanese korean style snack pizza,gyoza dumpling skin mozzarella cheese japanese pizza sauce tomato paste miso wasabi like japanese style white onion shiitake mushroom shiso leaf eggplant korian pizza sauce tomato paste gochujang doubanjiang chinese sauce korian style chive kimchi toasted sesame seed like korean nori seaweed gyoza dumpling skin mozzarella cheese japanese pizza sauce tomato paste miso wasabi like japanese style white onion shiitake mushroom shiso leaf eggplant korian pizza sauce tomato paste gochujang doubanjiang chinese sauce korian style chive kimchi toasted sesame seed like korean nori seaweed
Japanese Creamy Potato Salad,https://cookpad.com/eng/recipes/24660863,Ingredients 45 mins 8 servings 2 Large potatoes 1 Carrot 1/4 Sweet Onion 1 Persian Cucumber 2 Eggs 1/4 Cup Kewpie Mayo 2 Tablespoons Rice Vinegar Salt to taste 2 Large potatoes 1 Carrot 1/4 Sweet Onion 1 Persian Cucumber 2 Eggs 1/4 Cup Kewpie Mayo 2 Tablespoons Rice Vinegar Salt to taste,japanese creamy potato salad,potato carrot sweet onion persian cucumber egg kewpie mayo rice vinegar salt potato carrot sweet onion persian cucumber egg kewpie mayo rice vinegar salt
Japanese Napolitan Ketchup Spaghetti Pasta,https://cookpad.com/eng/recipes/24727616,Ingredients 1h 2 servings 100 g spaghetti 2-3 sausages 1/4 onion 1/4 green pepper 1/4 carrot sauce 1 tsp soy sauce 3 tbsp ketchup 100 g spaghetti 2-3 sausages 1/4 onion 1/4 green pepper 1/4 carrot sauce 1 tsp soy sauce 3 tbsp ketchup,japanese napolitan ketchup spaghetti pasta,spaghetti sausage onion green pepper carrot sauce soy sauce ketchup spaghetti sausage onion green pepper carrot sauce soy sauce ketchup
Oyakodon (Japanese Chicken and Egg Rice Bowl),https://cookpad.com/eng/recipes/24707794,Ingredients 20 min 2 people Chicken thigh (220g) 4 Egg Small 1 Onion ★2 Soy sauce … ★2 tbsp Sake ★2 tbsp Mirin ★2 tsp Sugar ★1/4 cup Water Chicken thigh (220g) 4 Egg Small 1 Onion ★2 Soy sauce … ★2 tbsp Sake ★2 tbsp Mirin ★2 tsp Sugar ★1/4 cup Water,oyakodon japanese chicken egg rice bowl,chicken thigh egg onion soy sauce sake mirin sugar water chicken thigh egg onion soy sauce sake mirin sugar water
Chashu pork (Japanese braised pork belly),https://cookpad.com/eng/recipes/24707630,Ingredients 60 min 4 people Pork shoulder (850g) 1 cup water 1/2 cup soy sauce 1/2 cup sake 1/4 cup sugar Garlic Green part of a leek Pork shoulder (850g) 1 cup water 1/2 cup soy sauce 1/2 cup sake 1/4 cup sugar Garlic Green part of a leek,chashu pork japanese braised pork belly,pork shoulder water soy sauce sake sugar garlic green part leek pork shoulder water soy sauce sake sugar garlic green part leek
Japanese Curry using Curry Roux mix,https://cookpad.com/eng/recipes/24692701,"Ingredients 60 min 4 people 1/2 box Japanese curry roux (about 90–100g) 2 onions (sliced) 1 carrot (cut into chunks) 2 potatoes (cut into chunks) 300 –400g meat ( beef , chicken , pork , or ground meat ) Water (check the curry box for exact amount) 1 tbsp cooking oil ( vegetable oil or sesame oil ) 1/2 box Japanese curry roux (about 90–100g) 2 onions (sliced) 1 carrot (cut into chunks) 2 potatoes (cut into chunks) 300 –400g meat ( beef , chicken , pork , or ground meat ) Water (check the curry box for exact amount) 1 tbsp cooking oil ( vegetable oil or sesame oil )",japanese curry using curry roux mix,japanese curry roux onion carrot potato meat beef chicken pork meat water check curry exact amount oil vegetable oil sesame oil japanese curry roux onion carrot potato meat beef chicken pork meat water check curry exact amount oil vegetable oil sesame oil
Japanese Mashed Cucumber Salad with Sesame,https://cookpad.com/eng/recipes/24692676,Ingredients prep 5 min 2 people 3 cucumber (260g) Salt ★1 tbsp sesame oil ★1 tsp vinegar ★1 tsp soy sauce ★1/4 tsp sugar Sesame seeds (optional) 3 cucumber (260g) Salt ★1 tbsp sesame oil ★1 tsp vinegar ★1 tsp soy sauce ★1/4 tsp sugar Sesame seeds (optional),japanese mashed cucumber salad sesame,prep cucumber salt sesame oil vinegar soy sauce sugar sesame seed cucumber salt sesame oil vinegar soy sauce sugar sesame seed
Karaage - Crispy Japanese Fried Chicken,https://cookpad.com/eng/recipes/24679584,"Ingredients 30 min Boneless , skinless chicken thighs (cut into bite-sized pieces) ★2 tbsp Soy sauce ★1 tbsp Sake ★1 tbsp Mirin ★1 tsp Salt ★Grated ginger… 1 clove (optional) ★Grated garlic… 1 clove (optional) as needed All-purpose flour as needed Potato starch (or cornstarch ) Spray Cooking oil (for the tray) Black pepper or lemon juice … to taste (optional) Boneless , skinless chicken thighs (cut into bite-sized pieces) ★2 tbsp Soy sauce ★1 tbsp Sake ★1 tbsp Mirin ★1 tsp Salt ★Grated ginger… 1 clove (optional) ★Grated garlic… 1 clove (optional) as needed All-purpose flour as needed Potato starch (or cornstarch ) Spray Cooking oil (for the tray) Black pepper or lemon juice … to taste (optional)",karaage crispy japanese fried chicken,boneless skinless chicken thigh bite sized soy sauce sake mirin salt ginger garlic flour potato starch cornstarch spray oil tray black pepper lemon juice boneless skinless chicken thigh bite sized soy sauce sake mirin salt ginger garlic flour potato starch cornstarch spray oil tray black pepper lemon juice
Japanese Tuna Poke Rice Bowl,https://cookpad.com/eng/recipes/24664333,Ingredients prep 5 mins 2 people 1 pound Sashimi grade Tuna ★1 tbsp mirin ★1 tbsp sake ★2 tbsp soy sauce 1 pound Sashimi grade Tuna ★1 tbsp mirin ★1 tbsp sake ★2 tbsp soy sauce,japanese tuna poke rice bowl,prep sashimi grade tuna mirin sake soy sauce sashimi grade tuna mirin sake soy sauce
Classic Japanese Beef & Potato Curry,https://cookpad.com/eng/recipes/24661034,Ingredients 30 mins 4 servings 1 lb pork shoulder 3 garlic cloves 1 tbsp minced ginger 1 chopped yellow onion 2 cups chopped carrots 2 cups chopped yellow potatoes 1 tbsp soy sauce 1 tsp salt 4 cups chicken broth 6 cubed golden curry roux 1 lb pork shoulder 3 garlic cloves 1 tbsp minced ginger 1 chopped yellow onion 2 cups chopped carrots 2 cups chopped yellow potatoes 1 tbsp soy sauce 1 tsp salt 4 cups chicken broth 6 cubed golden curry roux,classic japanese beef potato curry,pork shoulder garlic ginger yellow onion carrot yellow potato soy sauce salt chicken broth cubed golden curry roux pork shoulder garlic ginger yellow onion carrot yellow potato soy sauce salt chicken broth cubed golden curry roux
Tonkatsu - Crispy Japanese Pork Cutlet,https://cookpad.com/eng/recipes/24650123,pork loin chops salt black pepper flour egg panko breadcrumbs cabbage tonkatsu sauce,tonkatsu crispy japanese pork cutlet,pork loin chop salt black pepper flour egg panko breadcrumb cabbage tonkatsu sauce
Miso Soup with Silken Tofu & Wakame,https://cookpad.com/eng/recipes/24640192,dashi soup stock awase miso paste silken tofu dried wakame seaweed chopped scallions green onions,miso soup silken tofu wakame,dashi soup stock awase miso paste silken tofu wakame seaweed scallion green onion
Kitsune Udon with Sweet Fried Tofu,https://cookpad.com/eng/recipes/24630841,sanuki udon noodles dashi broth soy sauce mirin aburaage seasoned fried tofu green onion kamaboko fish cake,kitsune udon sweet fried tofu,sanuki udon noodle dashi broth soy sauce mirin aburaage seasoned tofu green onion kamaboko fish cake
Zaru Soba - Chilled Buckwheat Noodles,https://cookpad.com/eng/recipes/24620199,buckwheat soba noodles mentsuyu dipping sauce wasabi grated daikon radish green onion nori seaweed shreds,zaru soba chilled buckwheat noodle,buckwheat soba noodle mentsuyu dipping sauce wasabi daikon radish green onion nori seaweed shred
Osaka Style Savory Okonomiyaki Pancake,https://cookpad.com/eng/recipes/24610943,shredded cabbage okonomiyaki flour nagaimo yam dashi egg pork belly slices okonomiyaki sauce kewpie mayo bonito flakes aonori,osaka style savory okonomiyaki pancake,cabbage okonomiyaki flour nagaimo yam dashi egg pork belly okonomiyaki sauce kewpie mayo bonito flake aonori
Crispy Takoyaki Octopus Balls with Kewpie Mayo,https://cookpad.com/eng/recipes/24600184,boiled octopus dashi batter flour egg pickled red ginger tenkasu tempura scraps green onion takoyaki sauce kewpie mayo bonito flakes aonori,crispy takoyaki octopus ball kewpie mayo,boiled octopus dashi batter flour egg red ginger tenkasu tempura scrap green onion takoyaki sauce kewpie mayo bonito flake aonori
Katsudon - Pork Cutlet and Egg Rice Bowl,https://cookpad.com/eng/recipes/24590111,tonkatsu pork cutlet eggs sliced onion dashi broth soy sauce mirin sugar steamed white rice mitsuba,katsudon pork cutlet egg rice bowl,tonkatsu pork cutlet egg onion dashi broth soy sauce mirin sugar white rice mitsuba
Gyudon - Japanese Beef and Onion Rice Bowl,https://cookpad.com/eng/recipes/24580222,thinly sliced beef ribeye yellow onion dashi stock soy sauce sake mirin sugar pickled red ginger beni shoga steamed rice,gyudon japanese beef onion rice bowl,beef ribeye yellow onion dashi stock soy sauce sake mirin sugar red ginger beni shoga rice
Tonkotsu Ramen with Rich Pork Broth,https://cookpad.com/eng/recipes/24570333,fresh ramen noodles tonkotsu pork bone broth chashu pork belly soft boiled ajitsuke egg menma bamboo shoots wood ear mushrooms green onions black garlic oil,tonkotsu ramen rich pork broth,ramen noodle tonkotsu pork bone broth chashu pork belly soft boiled ajitsuke egg menma bamboo shoot wood ear mushroom green onion black garlic oil
Shoyu Ramen - Soy Sauce Broth Noodles,https://cookpad.com/eng/recipes/24560444,ramen noodles chicken and dashi broth shoyu tare soy sauce chashu pork narutomaki fish cake nori green onions soft boiled egg,shoyu ramen soy sauce broth noodle,ramen noodle chicken dashi broth shoyu tare soy sauce chashu pork narutomaki fish cake nori green onion soft boiled egg
Miso Ramen with Sweet Corn and Butter,https://cookpad.com/eng/recipes/24550555,ramen noodles rich miso pork broth garlic ground pork bean sprouts sweet corn pat of butter green onions chili oil,miso ramen sweet corn butter,ramen noodle rich miso pork broth garlic pork bean sprout sweet corn pat butter green onion chili oil
Ebi Tempura - Crispy Japanese Fried Shrimp,https://cookpad.com/eng/recipes/24540666,black tiger shrimp tempura flour ice cold water egg tempura dipping sauce mentsuyu grated ginger grated daikon radish frying oil,ebi tempura crispy japanese fried shrimp,black tiger shrimp tempura flour ice water egg tempura dipping sauce mentsuyu ginger daikon radish frying oil
Yakitori Negima - Chicken Thigh and Scallion Skewers,https://cookpad.com/eng/recipes/24530777,chicken thigh scallion stalks tare sauce soy sauce sake mirin brown sugar bamboo skewers,yakitori negima chicken thigh scallion skewer,chicken thigh scallion stalk tare sauce soy sauce sake mirin brown sugar bamboo skewer
Tamagoyaki - Japanese Rolled Omelette,https://cookpad.com/eng/recipes/24520888,eggs dashi stock sugar soy sauce mirin vegetable oil grated daikon radish,tamagoyaki japanese rolled omelette,egg dashi stock sugar soy sauce mirin vegetable oil daikon radish
Onigiri - Japanese Rice Balls with Salmon,https://cookpad.com/eng/recipes/24510999,steamed japanese short-grain rice grilled salted salmon furikake seasoning toasted nori seaweed sheet salt,onigiri japanese rice ball salmon,japanese short grain rice grilled salted salmon furikake seasoning toasted nori seaweed sheet salt
Unadon - Grilled Eel over Steamed Rice,https://cookpad.com/eng/recipes/24501111,unagi kabayaki eel unagi tare sauce soy sauce mirin sugar sake sansho japanese pepper steamed white rice,unadon grilled eel steamed rice,unagi kabayaki eel unagi tare sauce soy sauce mirin sugar sake sansho japanese pepper white rice
Sukiyaki - Sweet Soy Beef Hot Pot,https://cookpad.com/eng/recipes/24491222,thinly sliced marbled beef tofu shirataki konjac noodles napa cabbage enoki mushrooms shiitake mushrooms leek soy sauce mirin sugar sake raw egg dip,sukiyaki sweet soy beef hot pot,marbled beef tofu shirataki konjac noodle napa cabbage enoki mushroom shiitake mushroom leek soy sauce mirin sugar sake egg dip
Shabu-Shabu - Japanese Swish Swish Hot Pot,https://cookpad.com/eng/recipes/24481333,thinly sliced beef kombu kelp dashi water napa cabbage enoki mushrooms tofu udon noodles ponzu citrus sauce sesame gomadare sauce,shabu shabu japanese swish swish hot pot,beef kombu kelp dashi water napa cabbage enoki mushroom tofu udon noodle ponzu citrus sauce sesame gomadare sauce
Agedashi Tofu - Deep Fried Tofu in Dashi Broth,https://cookpad.com/eng/recipes/24471444,medium firm cotton tofu potato starch cornstarch dashi broth soy sauce mirin grated daikon ginger green onion bonito flakes katsuobushi,agedashi tofu deep fried tofu dashi broth,firm cotton tofu potato starch cornstarch dashi broth soy sauce mirin daikon ginger green onion bonito flake katsuobushi
Goma-ae - Japanese Spinach Salad with Sweet Sesame Dressing,https://cookpad.com/eng/recipes/24461555,fresh baby spinach toasted white sesame seeds soy sauce sugar mirin dashi salt,goma ae japanese spinach salad sweet sesame dressing,baby spinach toasted white sesame seed soy sauce sugar mirin dashi salt
Chawanmushi - Savory Japanese Egg Custard,https://cookpad.com/eng/recipes/24451666,eggs dashi broth chicken breast shrimp shiitake mushroom ginkgo nuts mitsuba soy sauce mirin salt,chawanmushi savory japanese egg custard,egg dashi broth chicken breast shrimp shiitake mushroom ginkgo nut mitsuba soy sauce mirin salt
